id,date,title_en,title_ko,organization_en,organization_ko,work_en,work_ko,publication_ids,featured
ishvac-best-paper-2025,2025-12-02,"Best Paper Award, ISHVAC 2025",ISHVAC 2025 Best Paper Award,"14th International Symposium on Heating, Ventilating and Air-Conditioning","제14회 International Symposium on Heating, Ventilating and Air-Conditioning","Causality-driven, interpretable surrogate modelling for DOAS preheating control","Causality-driven, interpretable surrogate modelling for DOAS preheating control",2025-international-conference-causality-driven-interpretable-surrogate-mode,true
aik-best-presentation-2024,2024-10-25,Best Presentation Paper Award,우수발표논문상,Architectural Institute of Korea,대한건축학회,Establishment and Application of a Greenhouse Gas Reduction Factor Database for Policy Decision-Making in Green Remodeling Projects,그린리모델링 정책 의사결정을 위한 온실가스 감축계수 데이터베이스 구축 및 적용,2024-domestic-conference-establishment-and-application-of-a-greenhouse,true
aik-thesis-encouragement-2022,2022-04-29,"Encouragement Award, Master’s Division",석사부문 장려상,"18th Excellent Graduation Thesis Competition, Architectural Institute of Korea",대한건축학회 제18회 우수졸업논문전,Stochastic daylight prediction and lighting control,확률론적 주광 예측 및 조명 제어,,false
aik-best-presentation-2021,2021-10-29,Best Presentation Paper Award,우수발표논문상,Architectural Institute of Korea,대한건축학회,Real-Time Electric Lighting Control Considering the Uncertainty of a Daylight Model,주광 모델의 불확실성을 고려한 실시간 전기조명 제어,2021-domestic-conference-real-time-electric-lighting-control-consideri,false
kiaebs-best-presentation-2020,2020-11-20,Best Paper Presentation Award,우수논문발표상,Korean Institute of Architectural Sustainable Environment and Building Systems,한국건축친환경설비학회,Prediction of Illuminance Ratios Between Indoor Points Using Gaussian Processes,가우시안 프로세스를 이용한 실내 지점 간 조도비 예측,2020-domestic-conference-prediction-of-illuminance-ratios-between-indo,false
